customerID,SeniorCitizen,gender,tenure,MonthlyCharges,Contract,InternetService,TechSupport,TotalCharges,Churn
4929-XIHVW,1,Male,2,95.5,Month-to-month,Fiber optic,No,181.65,No
6827-IEAUQ,0,Female,27,66.15,One year,DSL,Yes,1874.45,No
7310-EGVHZ,0,Male,1,20.2,Month-to-month,No,No internet service,20.2,No
3413-BMNZE,1,Male,1,45.25,Month-to-month,DSL,No,45.25,No
6234-RAAPL,0,Female,72,99.9,Two year,Fiber optic,Yes,7251.7,No
6047-YHPVI,0,Male,5,69.7,Month-to-month,Fiber optic,No,316.9,Yes
6572-ADKRS,0,Female,46,74.8,Month-to-month,Fiber optic,No,3548.3,No
5380-WJKOV,0,Male,34,106.35,Month-to-month,Fiber optic,No,3549.25,Yes
8168-UQWWF,0,Female,11,97.85,Month-to-month,Fiber optic,No,1105.4,Yes
8865-TNMNX,0,Male,10,49.55,One year,DSL,No,475.7,No
9489-DEDVP,0,Female,70,69.2,Two year,DSL,No,4872.35,No
9867-JCZSP,0,Female,17,20.75,One year,No,No internet service,418.25,No
4671-VJLCL,0,Female,63,79.85,Two year,DSL,Yes,4861.45,No
4080-IIARD,0,Female,13,76.2,Month-to-month,DSL,Yes,981.45,No
3714-NTNFO,0,Female,49,84.5,Month-to-month,Fiber optic,No,3906.7,No
5948-UJZLF,0,Male,2,49.25,Month-to-month,DSL,No,97,No
7760-OYPDY,0,Female,2,80.65,Month-to-month,Fiber optic,No,144.15,Yes
7639-LIAYI,0,Male,52,79.75,Two year,DSL,Yes,4217.8,No
2954-PIBKO,0,Female,69,64.15,Two year,DSL,Yes,4254.1,No
8012-SOUDQ,1,Female,43,90.25,Month-to-month,Fiber optic,No,3838.75,No
9420-LOJKX,0,Female,15,99.1,Month-to-month,Fiber optic,No,1426.4,Yes
6575-SUVOI,1,Female,25,69.5,Month-to-month,DSL,Yes,1752.65,No
7495-OOKFY,1,Female,8,80.65,Month-to-month,Fiber optic,No,633.3,Yes
4667-QONEA,1,Female,60,74.85,One year,DSL,Yes,4456.35,No
1658-BYGOY,1,Male,18,95.45,Month-to-month,Fiber optic,No,1752.55,Yes
8769-KKTPH,0,Female,63,99.65,One year,Fiber optic,No,6311.2,No
5067-XJQFU,1,Male,66,108.45,One year,Fiber optic,Yes,7076.35,No
3957-SQXML,0,Female,34,24.95,Two year,No,No internet service,894.3,No
5954-BDFSG,0,Female,72,107.5,Two year,Fiber optic,Yes,7853.7,No
0434-CSFON,0,Female,47,100.5,Month-to-month,Fiber optic,No,4707.1,No
1215-FIGMP,0,Male,60,89.9,Month-to-month,Fiber optic,No,5450.7,No
0526-SXDJP,0,Male,72,42.1,Two year,DSL,No,2962,No
0557-ASKVU,0,Female,18,54.4,One year,DSL,Yes,957.1,No
5698-BQJOH,0,Female,9,94.4,Month-to-month,Fiber optic,No,857.25,Yes
5122-CYFXA,0,Female,3,75.3,Month-to-month,DSL,Yes,244.1,No
8627-ZYGSZ,0,Male,47,78.9,One year,Fiber optic,No,3650.35,No
3410-YOQBQ,0,Female,31,79.2,Two year,DSL,Yes,2497.2,No
3170-NMYVV,0,Female,50,20.15,Two year,No,No internet service,930.9,No
7410-OIEDU,0,Male,10,79.85,Month-to-month,Fiber optic,No,887.35,No
2273-QCKXA,0,Male,1,49.05,Month-to-month,DSL,Yes,49.05,No
0731-EBJQB,0,Female,52,20.4,One year,No,No internet service,1090.65,No
1891-QRQSA,1,Male,64,111.6,Two year,Fiber optic,Yes,7099,No
8028-PNXHQ,0,Male,62,24.25,Two year,No,No internet service,1424.6,No
5630-AHZIL,0,Female,3,64.5,Month-to-month,DSL,Yes,177.4,No
2673-CXQEU,1,Female,56,110.5,One year,Fiber optic,No,6139.5,No
6416-JNVRK,0,Female,46,55.65,One year,DSL,No,2688.85,No
5590-ZSKRV,0,Female,8,54.65,Month-to-month,DSL,No,482.25,No
0191-ZHSKZ,1,Male,30,74.75,Month-to-month,DSL,No,2111.3,No
3887-PBQAO,0,Female,45,25.9,One year,No,No internet service,1216.6,No
5919-TMRGD,0,Female,1,79.35,Month-to-month,Fiber optic,No,79.35,Yes
8108-UXRQN,0,Female,11,50.55,Month-to-month,DSL,No,565.35,No
9191-MYQKX,0,Female,7,75.15,Month-to-month,Fiber optic,No,496.9,Yes
9919-YLNNG,0,Female,42,103.8,Month-to-month,Fiber optic,Yes,4327.5,No
0318-ZOPWS,0,Female,49,20.15,Two year,No,No internet service,973.35,No
4445-ZJNMU,0,Male,9,99.3,Month-to-month,Fiber optic,No,918.75,No
4808-YNLEU,0,Female,35,62.15,One year,DSL,No,2215.45,No
1862-QRWPE,0,Female,48,20.65,Two year,No,No internet service,1057,No
2796-NNUFI,0,Female,46,19.95,Two year,No,No internet service,927.1,No
3016-KSVCP,0,Male,29,33.75,Month-to-month,DSL,No,1009.25,No
4767-HZZHQ,0,Male,30,82.05,Month-to-month,Fiber optic,No,2570.2,No
2424-WVHPL,1,Male,1,74.7,Month-to-month,Fiber optic,Yes,74.7,No
7233-PAHHL,0,Male,66,84.0,Two year,DSL,Yes,5714.25,No
6067-NGCEU,0,Female,65,111.05,Month-to-month,Fiber optic,No,7107,No
9848-JQJTX,0,Male,72,100.9,Two year,Fiber optic,No,7459.05,No
8637-XJIVR,0,Female,12,78.95,Month-to-month,Fiber optic,No,927.35,Yes
9803-FTJCG,0,Male,71,66.85,One year,DSL,Yes,4748.7,No
0278-YXOOG,0,Male,5,21.05,Month-to-month,No,No internet service,113.85,Yes
3212-KXOCR,0,Male,52,21.0,Two year,No,No internet service,1107.2,No
4598-XLKNJ,1,Female,25,98.5,Month-to-month,Fiber optic,No,2514.5,Yes
6380-ARCEH,0,Male,1,20.2,Month-to-month,No,No internet service,20.2,No
3679-XASPY,0,Female,1,19.45,Month-to-month,No,No internet service,19.45,No
7123-WQUHX,0,Male,38,95.0,One year,Fiber optic,Yes,3605.6,No
5386-THSLQ,1,Female,66,45.55,One year,DSL,No,3027.25,No
3192-NQECA,0,Male,68,110.0,Two year,Fiber optic,Yes,7611.85,Yes
6180-YBIQI,0,Male,5,24.3,Month-to-month,DSL,No,100.2,No
6728-DKUCO,0,Female,72,104.15,One year,Fiber optic,No,7303.05,No
9750-BOOHV,0,Female,32,30.15,One year,DSL,No,927.65,No
8597-CWYHH,0,Male,43,94.35,One year,Fiber optic,No,3921.3,No
2848-YXSMW,0,Male,72,19.4,Two year,No,No internet service,1363.25,No
0486-HECZI,0,Male,55,96.75,Month-to-month,Fiber optic,No,5238.9,Yes
4549-ZDQYY,0,Female,52,57.95,One year,DSL,Yes,3042.25,No
5712-AHQNN,0,Female,43,91.65,Month-to-month,Fiber optic,No,3954.1,No
4846-WHAFZ,1,Female,37,76.5,Month-to-month,Fiber optic,No,2868.15,Yes
5256-SKJGO,0,Female,64,54.6,Two year,DSL,Yes,3423.5,No
3071-VBYPO,0,Male,3,89.85,Month-to-month,Fiber optic,No,248.4,No
9560-BBZXK,0,Female,36,31.05,Two year,DSL,No,1126.35,No
5299-RULOA,0,Female,10,100.25,Month-to-month,Fiber optic,No,1064.65,Yes
8402-OOOHJ,0,Female,41,20.65,Two year,No,No internet service,835.15,No
9445-ZUEQE,0,Male,27,85.2,Month-to-month,Fiber optic,Yes,2151.6,No
1091-SOZGA,0,Female,56,99.8,One year,Fiber optic,No,5515.45,No
2928-HLDBA,0,Female,6,20.7,Month-to-month,No,No internet service,112.75,No
0404-SWRVG,0,Male,3,74.4,Month-to-month,Fiber optic,No,229.55,Yes
6497-TILVL,0,Female,7,50.7,Month-to-month,DSL,No,350.35,No
7219-TLZHO,0,Female,4,20.85,Month-to-month,No,No internet service,62.9,No
4622-YNKIJ,0,Male,33,88.95,Two year,Fiber optic,Yes,3027.65,No
4412-YLTKF,1,Female,27,78.05,Month-to-month,Fiber optic,No,2135.5,Yes
6734-PSBAW,0,Male,72,23.55,Two year,No,No internet service,1723.95,No
3930-ZGWVE,0,Male,1,19.75,Month-to-month,No,No internet service,19.75,No
2639-UGMAZ,1,Male,71,56.45,One year,DSL,No,3985.35,No
2876-GZYZC,0,Female,13,85.95,Month-to-month,Fiber optic,No,1215.65,No
6207-WIOLX,0,Female,25,58.6,Month-to-month,DSL,No,1502.65,Yes
8587-XYZSF,0,Male,67,50.55,Two year,DSL,Yes,3260.1,No
3091-FYHKI,0,Male,1,35.45,Month-to-month,DSL,No,35.45,Yes
2372-HWUHI,0,Male,2,44.35,Month-to-month,DSL,No,81.25,Yes
7799-LGRDP,0,Female,43,25.7,Two year,No,No internet service,1188.2,No
7850-VWJUU,0,Female,23,75.0,Month-to-month,Fiber optic,No,1778.5,No
3774-VBNXY,0,Female,64,20.2,Two year,No,No internet service,1277.75,No
6217-KDYWC,0,Male,57,19.6,Two year,No,No internet service,1170.55,No
0390-DCFDQ,1,Female,1,70.45,Month-to-month,Fiber optic,No,70.45,Yes
3146-MSEGF,1,Female,72,88.05,Two year,DSL,Yes,6425.65,No
4080-OGPJL,0,Female,8,71.15,Month-to-month,DSL,Yes,563.65,Yes
1095-WGNGG,0,Female,61,101.05,Two year,Fiber optic,No,5971.25,No
2636-SJDOU,0,Male,64,84.3,One year,Fiber optic,No,5289.05,No
1131-QQZEB,1,Male,71,23.95,Two year,No,No internet service,1756.2,No
5716-EZXZN,0,Female,65,99.05,Two year,Fiber optic,Yes,6416.7,No
6837-BJYDQ,0,Male,3,19.6,One year,No,No internet service,61.35,No
2135-RXIHG,0,Male,1,45.65,Month-to-month,DSL,No,45.65,Yes
6440-DKQGE,0,Male,30,64.5,One year,DSL,No,1929.95,No
3466-BYAVD,0,Male,15,69.5,Month-to-month,DSL,Yes,1071.4,No
3780-YVMFA,0,Female,8,68.55,Month-to-month,DSL,Yes,564.35,No
3874-EQOEP,0,Male,7,95.0,Month-to-month,Fiber optic,No,655.5,Yes
1679-JRFBR,0,Female,70,108.15,One year,Fiber optic,No,7930.55,No
9073-ZZIAY,0,Male,62,86.1,Two year,DSL,Yes,5215.25,No
3077-RSNTJ,0,Female,6,19.7,Month-to-month,No,No internet service,113.5,No
6551-GNYDG,0,Female,14,80.9,Month-to-month,Fiber optic,No,1152.8,No
9167-APMXZ,0,Female,22,84.15,Month-to-month,Fiber optic,No,1821.95,No
2749-CTKAJ,0,Male,22,20.15,One year,No,No internet service,419.9,No
6371-NZYEG,0,Male,16,64.25,Two year,DSL,No,1024,No
7554-NEWDD,0,Male,10,25.7,Two year,No,No internet service,251.6,No
8992-VONJD,0,Female,13,56.0,Month-to-month,DSL,No,764.55,No
0867-MKZVY,0,Female,20,82.4,Month-to-month,Fiber optic,No,1592.35,Yes
4482-EWFMI,0,Female,2,69.7,Month-to-month,Fiber optic,No,135.2,No
4648-YPBTM,0,Male,53,73.9,Two year,DSL,Yes,3958.25,No
2907-ILJBN,0,Female,11,20.6,One year,No,No internet service,233.9,No
6345-FZOQH,0,Male,69,19.9,Two year,No,No internet service,1363.45,No
3376-BMGFE,0,Female,4,70.9,Month-to-month,Fiber optic,No,273,Yes
5997-OPVFA,0,Male,72,89.05,Two year,DSL,Yes,6254.45,No
3445-HXXGF,1,Male,58,45.3,Month-to-month,DSL,No,2651.2,Yes
1159-WFSGR,0,Female,16,20.4,Month-to-month,No,No internet service,321.4,No
7654-YWJUF,0,Male,43,84.25,One year,Fiber optic,Yes,3539.25,No
1875-QIVME,0,Female,2,104.4,Month-to-month,Fiber optic,Yes,242.8,Yes
6727-IOTLZ,0,Male,14,81.95,Two year,DSL,Yes,1181.75,No
0691-JVSYA,0,Female,53,94.85,One year,Fiber optic,No,5000.2,Yes
5918-VUKWP,0,Female,32,20.55,One year,No,No internet service,654.55,No
1744-JHKYS,0,Female,34,24.7,Month-to-month,No,No internet service,780.2,No
2656-FMOKZ,1,Female,15,74.45,Month-to-month,Fiber optic,No,1145.7,Yes
2070-FNEXE,1,Female,7,76.45,Month-to-month,Fiber optic,No,503.6,Yes
5947-SGKCL,0,Female,15,105.35,Month-to-month,Fiber optic,No,1559.25,No
3712-PKXZA,0,Male,61,20.55,One year,No,No internet service,1252,No
6317-YPKDH,0,Female,1,29.95,Month-to-month,DSL,No,29.95,Yes
6582-OIVSP,0,Female,1,45.3,Month-to-month,DSL,No,45.3,No
9367-WXLCH,0,Male,8,84.5,Month-to-month,Fiber optic,No,662.65,Yes
5524-KHNJP,0,Male,33,74.75,One year,DSL,No,2453.3,No
1918-ZBFQJ,0,Female,13,79.25,Month-to-month,Fiber optic,No,1111.65,Yes
1024-GUALD,0,Female,1,24.8,Month-to-month,DSL,No,24.8,Yes
4827-USJHP,0,Male,20,51.8,Month-to-month,DSL,No,1023.85,No
8167-GJLRN,0,Male,3,30.4,Month-to-month,DSL,Yes,82.15,No
0956-SYCWG,0,Female,13,19.65,One year,No,No internet service,244.8,No
8017-UVSZU,0,Female,40,56.6,Month-to-month,DSL,No,2379.1,No
7100-FQPRV,0,Male,43,71.9,One year,DSL,Yes,3173.35,No
2472-OVKUP,0,Male,6,91.0,Month-to-month,Fiber optic,No,531,Yes
2984-RGEYA,0,Female,69,19.75,Two year,No,No internet service,1375.4,No
9680-NIAUV,0,Female,72,109.7,Two year,Fiber optic,No,8129.3,No
2146-EGVDT,0,Male,59,19.3,Two year,No,No internet service,1192.7,No
2604-IJPDU,0,Female,20,96.55,Month-to-month,Fiber optic,Yes,1901.65,No
9178-JHUVJ,0,Male,24,24.1,Two year,No,No internet service,587.4,No
6168-YBYNP,0,Male,59,111.35,Month-to-month,Fiber optic,Yes,6519.75,No
7255-SSFBC,0,Male,72,112.25,Two year,Fiber optic,Yes,8041.65,No
3645-DEYGF,0,Male,1,20.75,Month-to-month,No,No internet service,20.75,No
9323-HGFWY,0,Female,27,101.9,One year,Fiber optic,Yes,2681.15,No
8544-GOQSH,0,Female,14,80.05,Month-to-month,Fiber optic,Yes,1112.3,No
3363-DTIVD,0,Male,71,105.55,Two year,Fiber optic,No,7405.5,No
7018-WBJNK,0,Male,13,78.3,Month-to-month,Fiber optic,No,1033.95,No
9142-KZXOP,0,Male,44,68.85,Month-to-month,Fiber optic,No,2958.95,No
7674-YTAFD,0,Female,33,79.95,One year,Fiber optic,Yes,2684.85,No
6348-SNFUS,0,Male,72,55.45,Two year,DSL,Yes,4179.2,No
1285-OKIPP,0,Male,1,79.9,Month-to-month,Fiber optic,No,79.9,Yes
7825-ECJRF,0,Female,19,106.6,Month-to-month,Fiber optic,Yes,1934.45,Yes
1347-KTTTA,0,Male,64,102.45,One year,Fiber optic,Yes,6654.1,No
7841-TZDMQ,0,Male,2,46.0,Month-to-month,DSL,No,84.5,Yes
4195-NZGTA,0,Female,1,25.25,Month-to-month,DSL,No,25.25,No
7157-SMCFK,0,Male,61,19.75,Two year,No,No internet service,1124.2,No
4709-LKHYG,0,Female,29,20.0,One year,No,No internet service,540.05,No
2504-DSHIH,1,Male,23,86.8,Month-to-month,Fiber optic,No,1975.85,No
0699-NDKJM,0,Female,57,58.75,Month-to-month,DSL,No,3437.45,No
9286-BHDQG,0,Male,72,45.25,Two year,DSL,Yes,3139.8,No
0230-WEQUW,0,Male,66,56.6,Two year,DSL,Yes,3789.2,No
2040-LDIWQ,0,Male,65,84.2,Two year,DSL,Yes,5324.5,No
6496-JDSSB,0,Female,8,80.0,Month-to-month,Fiber optic,No,624.6,No
9408-SSNVZ,0,Female,4,70.15,Month-to-month,Fiber optic,No,268.35,Yes
4443-EMBNA,0,Female,71,24.75,Two year,No,No internet service,1836.9,No
6469-MRVET,0,Male,1,20.2,One year,No,No internet service,20.2,No
0742-MOABM,0,Male,4,50.05,Month-to-month,DSL,Yes,179.35,Yes
5961-VUSRV,0,Female,12,19.35,One year,No,No internet service,219.35,No
6778-JFCMK,0,Male,24,50.6,One year,DSL,No,1288.75,No
6341-JVQGF,0,Female,31,81.15,One year,DSL,Yes,2545.75,No
2232-DMLXU,0,Female,1,55.2,Month-to-month,DSL,No,55.2,Yes
4811-JBUVU,0,Male,30,89.9,Month-to-month,Fiber optic,Yes,2723.15,No
0945-TSONX,0,Female,47,85.3,Two year,DSL,Yes,4107.25,No
2651-ZCBXV,0,Male,54,108.0,Two year,Fiber optic,Yes,5760.65,No
3316-UWXUY,0,Male,50,93.5,Month-to-month,Fiber optic,Yes,4747.5,No
8937-RDTHP,0,Male,1,84.6,Month-to-month,Fiber optic,No,84.6,Yes
7083-MIOPC,0,Female,72,20.25,Two year,No,No internet service,1566.9,No
1984-GPTEH,0,Female,29,25.15,Month-to-month,No,No internet service,702,No
1251-KRREG,0,Male,2,54.4,Month-to-month,DSL,No,114.1,Yes
0621-JFHOL,0,Female,10,29.6,Two year,DSL,Yes,299.05,No
9903-LYSAB,0,Male,18,73.15,Month-to-month,Fiber optic,No,1305.95,No
0094-OIFMO,1,Female,11,95.0,Month-to-month,Fiber optic,No,1120.3,Yes
9227-UAQFT,0,Male,16,19.75,Two year,No,No internet service,284.35,No
7301-ABVAD,0,Female,72,86.6,Two year,DSL,Yes,6350.5,No
6614-FHDBO,0,Male,72,109.2,Two year,Fiber optic,Yes,7878.3,No
7576-ASEJU,0,Female,41,74.7,One year,DSL,Yes,3187.65,No
9058-HRZSV,1,Female,65,94.4,Month-to-month,Fiber optic,No,6126.15,No
4522-AKYLR,1,Female,13,54.8,Month-to-month,DSL,No,731.3,No
0221-WMXNQ,1,Male,4,75.35,Month-to-month,Fiber optic,No,273.4,No
0303-UNCIP,0,Male,41,65.0,One year,DSL,No,2531.8,No
9947-OTFQU,1,Male,15,74.4,Month-to-month,Fiber optic,No,1074.3,Yes
0322-YINQP,0,Male,1,48.55,Month-to-month,DSL,No,48.55,Yes
0959-WHOKV,0,Male,42,99.0,One year,Fiber optic,No,4298.45,No
4075-JFPGR,0,Female,51,93.5,One year,Fiber optic,No,4619.55,No
4629-NRXKX,0,Female,2,70.4,Month-to-month,Fiber optic,No,147.15,Yes
9514-JDSKI,1,Male,1,40.2,Month-to-month,DSL,No,40.2,Yes
3282-ZISZV,0,Male,32,83.7,One year,DSL,Yes,2633.3,No
3675-YDUPJ,0,Male,10,19.85,Month-to-month,No,No internet service,193.05,No
4111-BNXIF,0,Female,67,59.55,Two year,DSL,Yes,4103.9,No
7017-VFHAY,0,Female,61,115.1,Two year,Fiber optic,Yes,7008.15,No
6655-LHBYW,0,Male,50,114.35,One year,Fiber optic,Yes,5791.1,No
4959-JOSRX,0,Female,2,44.6,Month-to-month,DSL,No,80.55,Yes
5046-NUHWD,1,Female,29,45.0,Month-to-month,DSL,No,1228.65,No
7273-TEFQD,1,Male,3,41.15,Month-to-month,DSL,No,132.2,Yes
3606-TWKGI,1,Male,13,106.9,Month-to-month,Fiber optic,No,1364.3,Yes
7529-ZDFXI,1,Male,57,89.85,Month-to-month,Fiber optic,No,4925.35,No
7605-BDWDC,0,Female,31,49.85,Two year,DSL,Yes,1520.1,No
1950-KSVVJ,0,Female,45,113.3,One year,Fiber optic,Yes,5032.25,No
0123-CRBRT,0,Female,61,88.1,Two year,DSL,Yes,5526.75,No
6292-TOSSS,0,Male,50,24.9,Two year,No,No internet service,1195.25,No
3197-ARFOY,1,Female,19,105.0,Month-to-month,Fiber optic,Yes,2007.25,No
6323-AYBRX,0,Male,59,19.35,Two year,No,No internet service,1099.6,Yes
7014-ZZXAW,0,Female,71,24.25,Two year,No,No internet service,1732.95,No
4385-GZQXV,1,Female,16,94.45,Month-to-month,Fiber optic,Yes,1511.2,Yes
7633-MVPUY,0,Male,57,59.75,Two year,DSL,Yes,3450.15,No
6366-ZGQGL,0,Male,1,24.8,Month-to-month,DSL,No,24.8,Yes
4716-HHKQH,1,Male,20,107.05,Month-to-month,Fiber optic,Yes,2172.05,No
5940-AHUHD,0,Male,1,70.6,Month-to-month,Fiber optic,No,70.6,Yes
6432-TWQLB,0,Male,5,85.4,Month-to-month,Fiber optic,Yes,401.1,Yes
4484-GLZOU,0,Female,52,105.05,Month-to-month,Fiber optic,No,5624.85,Yes
3179-GBRWV,1,Male,21,64.95,Month-to-month,DSL,No,1339.8,No
8645-KWHJO,0,Male,14,55.0,Month-to-month,DSL,Yes,771.95,No
4130-MZLCC,0,Female,5,50.55,Month-to-month,DSL,No,244.75,No
0314-TKOSI,0,Female,6,55.15,Month-to-month,DSL,No,322.9,No
8229-MYEJZ,0,Female,10,51.2,Month-to-month,DSL,No,498.25,No
2080-SRCDE,0,Female,1,25.4,Month-to-month,No,No internet service,25.4,No
9577-WJVCQ,0,Female,68,54.45,Month-to-month,DSL,No,3687.75,No
9512-UIBFX,0,Male,18,95.15,Month-to-month,Fiber optic,No,1779.95,Yes
6202-DYYFX,0,Female,22,76.0,One year,Fiber optic,No,1783.6,No
3808-HFKDE,0,Female,20,44.35,Month-to-month,DSL,No,927.15,No
5583-SXDAG,0,Male,1,70.0,Month-to-month,Fiber optic,No,70,Yes
3488-PGMQJ,1,Male,8,74.5,Month-to-month,Fiber optic,No,606.55,Yes
3580-REOAC,0,Male,10,44.85,Month-to-month,DSL,No,435.4,Yes
7534-BFESC,1,Male,24,76.1,Month-to-month,Fiber optic,No,1712.7,Yes
3727-OWVYD,0,Male,35,61.2,One year,DSL,No,2021.2,No
2294-SALNE,0,Male,23,86.8,One year,Fiber optic,Yes,1940.8,No
4847-TAJYI,1,Female,6,89.35,Month-to-month,Fiber optic,No,567.8,No
1563-IWQEX,0,Female,12,19.7,Month-to-month,No,No internet service,220.35,No
8203-XJZRC,0,Male,1,20.25,Month-to-month,No,No internet service,20.25,No
6556-DBKZF,0,Female,71,76.05,Two year,Fiber optic,No,5436.45,No
6851-WEFYX,1,Male,35,100.8,Month-to-month,Fiber optic,No,3437.5,No
2985-JUUBZ,0,Male,40,74.55,Month-to-month,DSL,No,3015.75,No
6390-DSAZX,0,Female,1,73.6,Month-to-month,Fiber optic,No,73.6,Yes
0895-LMRSF,0,Male,23,64.9,One year,DSL,No,1509.8,No
8098-LLAZX,1,Female,4,95.45,Month-to-month,Fiber optic,No,396.1,Yes
8266-VBFQL,0,Male,4,90.4,Month-to-month,Fiber optic,Yes,356.65,No
8181-YHCMF,0,Female,68,60.3,Two year,DSL,Yes,4109,No
2240-HSJQD,0,Male,38,81.85,Month-to-month,Fiber optic,No,3141.7,No
1248-DYXUB,0,Male,52,24.8,Two year,No,No internet service,1229.1,No
0265-EDXBD,1,Male,32,74.9,Month-to-month,Fiber optic,No,2303.35,Yes
4115-BNPJY,0,Male,29,75.55,Two year,DSL,Yes,2054.4,No
3167-SNQPL,1,Male,38,101.15,Month-to-month,Fiber optic,No,3741.85,No
4091-TVOCN,0,Male,48,78.75,One year,DSL,No,3682.45,No
1098-TDVUQ,0,Female,1,19.25,Month-to-month,No,No internet service,19.25,No
7277-OZCGZ,0,Female,22,89.05,Month-to-month,Fiber optic,Yes,1886.25,No
1557-EMYVT,0,Female,43,115.05,Two year,Fiber optic,Yes,4895.1,No
2799-ARNLO,1,Female,5,69.35,Month-to-month,Fiber optic,No,341.6,No
7563-BIUPC,0,Male,5,80.6,Month-to-month,Fiber optic,No,415.55,Yes
5027-YOCXN,0,Male,51,110.05,One year,Fiber optic,Yes,5686.4,No
3973-SKMLN,0,Male,71,19.9,Two year,No,No internet service,1355.1,No
2321-OMBXY,0,Female,38,80.3,One year,DSL,Yes,3058.65,Yes
2840-XANRC,1,Male,24,93.15,Month-to-month,Fiber optic,No,2231.05,Yes
6745-JEFZB,0,Male,35,91.5,Month-to-month,Fiber optic,Yes,3236.35,No
5020-ZSTTY,1,Female,54,82.45,One year,DSL,Yes,4350.1,Yes
9880-TDQAC,0,Female,72,60.0,Two year,DSL,Yes,4264,No
8705-WZCYL,0,Male,1,44.8,Month-to-month,DSL,No,44.8,No
7102-JJVTX,0,Female,9,48.6,One year,DSL,No,422.3,No
8626-PTQGE,0,Male,69,60.05,Two year,DSL,Yes,4176.7,No
4983-CLMLV,0,Female,52,102.7,Month-to-month,Fiber optic,Yes,5138.1,No
5701-YVSVF,1,Female,11,82.9,Month-to-month,Fiber optic,Yes,880.05,No
5804-LEPIM,1,Female,2,70.35,Month-to-month,Fiber optic,No,139.05,Yes
5697-GOMBF,1,Female,28,35.9,Month-to-month,DSL,No,973.65,No
2739-CACDQ,1,Female,17,82.65,Month-to-month,Fiber optic,No,1470.05,No
9385-EHGDO,0,Female,35,19.85,Two year,No,No internet service,739.35,No
9498-FIMXL,0,Female,8,19.2,One year,No,No internet service,161.95,No
2379-GYFLQ,0,Male,46,94.9,One year,Fiber optic,No,4422.95,No
0122-OAHPZ,0,Female,7,73.85,Month-to-month,Fiber optic,No,511.25,Yes
2868-SNELZ,0,Female,2,80.6,Month-to-month,Fiber optic,No,155.8,Yes
4322-RCYMT,0,Male,68,75.8,One year,DSL,Yes,5293.95,Yes
6680-NENYN,0,Female,43,104.6,Two year,Fiber optic,No,4759.85,Yes
2088-IEBAU,0,Female,68,88.15,Two year,DSL,Yes,6148.45,No
7982-VCELR,0,Female,36,94.8,Month-to-month,Fiber optic,No,3565.65,No
1343-EHPYB,0,Male,63,103.4,Month-to-month,Fiber optic,No,6603,Yes
6035-BXTTY,1,Female,32,54.65,Month-to-month,DSL,Yes,1830.1,No
